                 , Pokedex, Living, Shiny, 100%, Lucky, XXL, XXS, Mega, Dynamax, Gigantamax, Shadow, Purified,  ,   ,     , 
628 Braviary     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Hisuian          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
629 Vullaby      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
630 Mandibuzz    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
631 Heatmor      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
632 Durant       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
633 Deino        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
634 Zweilous     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
635 Hydreigon    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
636 Larvesta     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
637 Volcarona    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
638 Cobalion     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
639 Terrakion    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
640 Virizion     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
641 Tornadus     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Therian          ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  4,     ,   
Incarnate        ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  4,     ,   
642 Thundurus    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Therian          ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  4,     ,   
Incarnate        ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  4,     ,   
643 Reshiram     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
644 Zekrom       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
645 Landorus     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Therian          ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  4,     ,   
Incarnate        ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  4,     ,   
646 Kyurem       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Black            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
White            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
647 Keldeo       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
648 Meloetta     ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
649 Genesect     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
No Drive         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  4,     ,   
Shock            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  4,     ,   
Burn             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  4,     ,   
Chill            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  4,     ,   
Douse            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  4,     ,   
KALOS            ,        ,       ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
650 Chespin      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
651 Quilladin    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
652 Chesnaught   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
653 Fennekin     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
654 Braixen      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
655 Delphox      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
656 Froakie      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
657 Frogadier    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
658 Greninja     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
659 Bunnelby     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
660 Diggersby    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
661 Fletchling   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
662 Fletchinder  ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
663 Talonflame   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
664 Scatterbug   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
665 Spewpa       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
666 Vivillon     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Icy Snow         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Polar            ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Tundra           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Continental      ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Garden           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Elegant          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Meadow           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Modern           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Marine           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Archipelago      ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
High Plains      ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Sandstorm        ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
River            ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Monsoon          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Savanna          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Sun              ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Ocean            ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Jungle           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Pokeball         ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Fancy            ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
667 Litleo       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
668 Pyroar       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
669 Flabebe      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Red              ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Yellow           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Orange           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Blue             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
White            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
670 Floette      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Red              ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Yellow           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Orange           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Blue             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
White            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
671 Florges      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Red              ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Yellow           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Orange           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Blue             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
White            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
672 Skiddo       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
673 Gogoat       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
674 Pancham      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
675 Pangoro      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
676 Furfrou      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Natural          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Matron           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Heart            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Dandy            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Star             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
La Reine         ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Diamond          ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Kabuki           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Debutante        ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Pharaoh          ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Pharaoh          ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
678 Meowstic     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
679 Honedge      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
680 Doublade     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
681 Aegislash    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
682 Spritzee     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
683 Aromatisse   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
684 Swirlix      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
685 Slurpuff     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
686 Inkay        ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,   
687 Malamar      ,        ,       ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 11,     ,   
688 Binacle      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
689 Barbaracle   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
690 Skrelp       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
691 Dragalge     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
692 Clauncher    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
693 Clawitzer    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
694 Helioptile   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
695 Heliolisk    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
696 Tyrunt       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
697 Tyrantrum    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
698 Amaura       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
699 Aurorus      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
700 Sylveon      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
701 Hawlucha     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
702 Dedenne      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
703 Carbink      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
704 Goomy        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
705 Sliggoo      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Hisuian          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
706 Goodra       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Hisuian          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
707 Klefki       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
708 Phantump     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
709 Trevenant    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
710 Pumpkaboo    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Small            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Average          ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Large            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Super Size       ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
711 Gourgeist    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Small            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Average          ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Large            ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Super Size       ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
712 Bergmite     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
713 Avalugg      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Hisuian          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
714 Noibat       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
715 Noivern      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
716 Xerneas      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
717 Yveltal      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
718 Zygarde      ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
10%              ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
50%              ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Complete         ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
719 Diancie      ,        ,       , -    , -   , -    , -  , -  ,     , -      , -         , -     , -       , -,  3,     ,   
720 Hoopa        ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
Unbound          ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Confined         ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
721 Volcanion    ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
ALOLA            ,        ,       ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
722 Rowlet       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
723 Dartrix      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
724 Decidueye    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Hisuian          ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
725 Litten       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
726 Torracat     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
727 Incineroar   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
728 Popplio      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
729 Brionne      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
730 Primarina    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
731 Pikipek      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
732 Trumbeak     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
733 Toucannon    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
734 Yungoos      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
735 Gumshoos     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
736 Grubbin      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
737 Charjabug    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
738 Vikavolt     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
739 Crabrawler   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
740 Crabominable ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
741 Oricorio     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Baile            ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Pom-Pom          ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Pa'u             ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Sensu            ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
742 Cutiefly     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
743 Ribombee     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
744 Rockruff     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
745 Lycanroc     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
Midday           ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Midnight         ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
Dusk             ,        ,       , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  2,     ,   
746 Wishiwashi   , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
747 Mareanie     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
748 Toxapex      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
749 Mudbray      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
750 Mudsdale     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
751 Dewpider     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
752 Araquanid    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
753 Fomantis     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
754 Lurantis     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
755 Morelull     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
756 Shiinotic    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
757 Salandit     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
758 Salazzle     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
759 Stufful      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
760 Bewear       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
761 Bounsweet    ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
762 Steenee      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  7,     ,   
763 Tsareena     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  7,     ,   
764 Comfey       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
765 Oranguru     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
766 Passimian    ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
767 Wimpod       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
768 Golisopod    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
769 Sandygast    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
770 Palossand    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
771 Pyukumuku    , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
772 Type: Null   , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
773 Silvally     , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
774 Minior       , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
Blue             , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
Green            , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
Indigo           , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
Orange           , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
Red              , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
Violet           , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
Yellow           , -      , -     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  0,     ,   
775 Komala       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
776 Turtonator   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
777 Togedemaru   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
778 Mimikyu      ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
779 Bruxish      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
780 Drampa       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
781 Dhelmise     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
782 Jangmo-o     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
783 Hakamo-o     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
784 Kommo-o      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
785 Tapu Koko    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
786 Tapu Lele    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
787 Tapu Bulu    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
788 Tapu Fini    ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
789 Cosmog       ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
790 Cosmoem      ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
791 Solgaleo     ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
792 Lunala       ,        ,       , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  6,     ,   
793 Nihilego     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
794 Buzzwole     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
