Pokemon          , Pokedex,     , Living,     , Shiny, 100%, Lucky, XXL, XXS, Mega, Dynamax, Gigantamax, Shadow, Purified,  ,   ,     , 
561 Sigilyph     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
562 Yamask       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
563 Cofagrigus   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
564 Tirtouga     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
565 Carracosta   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
566 Archen       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
567 Archeops     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
568 Trubbish     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
569 Garbodor     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        ,           ,       ,         , -, 13,     ,   
570 Zorua        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Hisuian          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
571 Zoroark      ,        ,     ,       ,     , -    ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  8,     ,   
Hisuian          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
572 Minccino     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
573 Cinccino     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
574 Gothita      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
575 Gothorita    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
576 Gothitelle   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
577 Solosis      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
578 Duosion      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
579 Reuniclus    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
580 Ducklett     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
581 Swanna       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
582 Vanillite    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
583 Vanillish    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
584 Vanilluxe    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
585 Deerling     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Spring           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Summer           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Fall             ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Winter           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
586 Sawsbuck     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Spring           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Summer           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Fall             ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Winter           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
587 Emolga       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
588 Karrablast   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
589 Escavalier   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
590 Foongus      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
591 Amoonguss    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
592 Frillish     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
593 Jellicent    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
594 Alomomola    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
595 Joltik       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
596 Galvantula   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
597 Ferroseed    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
598 Ferrothorn   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
599 Klink        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
600 Klang        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
601 Klinklang    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
602 Tynamo       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
603 Eelektrik    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
604 Eelektross   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
605 Elgyem       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
606 Beheeyem     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
607 Litwick      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
608 Lampent      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
609 Chandelure   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
610 Axew         ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
611 Fraxure      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
612 Haxorus      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
613 Cubchoo      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
614 Beartic      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
615 Cryogonal    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
616 Shelmet      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
617 Accelgor     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
618 Stunfisk     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Galarian         ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
619 Mienfoo      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
620 Mienshao     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
621 Druddigon    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
622 Golett       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
623 Golurk       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
624 Pawniard     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
625 Bisharp      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
626 Bouffalant   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
627 Rufflet      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
628 Braviary     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Hisuian          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
629 Vullaby      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
630 Mandibuzz    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
631 Heatmor      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
632 Durant       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
633 Deino        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
634 Zweilous     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
635 Hydreigon    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
636 Larvesta     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
637 Volcarona    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
638 Cobalion     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
639 Terrakion    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
640 Virizion     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
641 Tornadus     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Therian          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  6,     ,   
Incarnate        ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  6,     ,   
642 Thundurus    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Therian          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  6,     ,   
Incarnate        ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  6,     ,   
643 Reshiram     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
644 Zekrom       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
645 Landorus     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
Therian          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  6,     ,   
Incarnate        ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  6,     ,   
646 Kyurem       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Black            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
White            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
647 Keldeo       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
648 Meloetta     ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
649 Genesect     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
No Drive         ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  6,     ,   
Shock            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  6,     ,   
Burn             ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  6,     ,   
Chill            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  6,     ,   
Douse            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         ,       ,         , -,  6,     ,   
KALOS            ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
650 Chespin      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
651 Quilladin    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
652 Chesnaught   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
653 Fennekin     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
654 Braixen      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
655 Delphox      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
656 Froakie      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
657 Frogadier    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
658 Greninja     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
659 Bunnelby     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
660 Diggersby    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
661 Fletchling   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
662 Fletchinder  ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
663 Talonflame   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
664 Scatterbug   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
665 Spewpa       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
666 Vivillon     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Icy Snow         ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Polar            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Tundra           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Continental      ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Garden           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Elegant          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Meadow           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Modern           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Marine           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Archipelago      ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
High Plains      ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Sandstorm        ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
River            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Monsoon          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Savanna          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Sun              ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Ocean            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Jungle           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Pokeball         ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Fancy            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
667 Litleo       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
668 Pyroar       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
669 Flabebe      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Red              ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Yellow           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Orange           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Blue             ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
White            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
670 Floette      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Red              ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Yellow           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Orange           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Blue             ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
White            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
671 Florges      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Red              ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Yellow           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Orange           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Blue             ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
White            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
672 Skiddo       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
673 Gogoat       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
674 Pancham      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
675 Pangoro      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
676 Furfrou      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Natural          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Matron           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Heart            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Dandy            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Star             ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
La Reine         ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Diamond          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Kabuki           ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Debutante        ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Pharoah          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Pharoah          ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
678 Meowstic     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
679 Honedge      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
680 Doublade     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
681 Aegislash    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
682 Spritzee     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
683 Aromatisse   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
684 Swirlix      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
685 Slurpuff     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
686 Inkay        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,   
687 Malamar      ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        , -         ,       ,         , -, 13,     ,   
688 Binacle      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
689 Barbaracle   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
690 Skrelp       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
691 Dragalge     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
692 Clauncher    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
693 Clawitzer    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
694 Helioptile   ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
695 Heliolisk    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
696 Tyrunt       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
697 Tyrantrum    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
698 Amaura       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
699 Aurorus      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
700 Sylveon      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -, 10,     ,   
701 Hawlucha     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
702 Dedenne      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
703 Carbink      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
704 Goomy        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
705 Sliggoo      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Hisuian          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
706 Goodra       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Hisuian          ,        ,     ,       ,     ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  5,     ,   
707 Klefki       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
708 Phantump     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
709 Trevenant    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
710 Pumpkaboo    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Small            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Average          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Large            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Super Size       ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
711 Gourgeist    ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  9,     ,   
Small            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Average          ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Large            ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
Super Size       ,        ,     ,       ,     , -    , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  4,     ,   
